#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAF7235422.1         -          7tm_1                PF00001.26         0 1026.5 252.9   6.6e-37  127.4  20.5  11.5  11   0   0  11  11  11  11 Craniofacial development protein 2 [Varanus komodoensis]
KAF7237959.1         -          7tm_1                PF00001.26  1.6e-191  634.2 167.5   5.6e-35  121.1  20.8   7.4   7   0   0   7   7   7   7 Olfactory receptor 5B21 [Varanus komodoensis]
KAF7235631.1         -          7tm_1                PF00001.26  1.5e-162  539.2 120.8   6.5e-34  117.6  21.5   5.8   5   0   0   5   5   5   5 Olfactory receptor 4M1, partial [Varanus komodoensis]
KAF7237974.1         -          7tm_1                PF00001.26  1.3e-150  500.1 128.5   5.5e-37  127.7  18.9   5.4   5   0   0   5   5   5   5 Olfactory receptor 13G1, partial [Varanus komodoensis]
KAF7235430.1         -          7tm_1                PF00001.26  9.1e-126  418.7  99.3   7.6e-36  123.9  24.2   4.7   5   0   0   5   5   4   4 Olfactory receptor 14I1 [Varanus komodoensis]
KAF7235419.1         -          7tm_1                PF00001.26  8.9e-124  412.1  99.6   7.2e-37  127.3  23.7   6.5   6   0   0   6   6   6   5 Olfactory receptor 14A16, partial [Varanus komodoensis]
KAF7234905.1         -          7tm_1                PF00001.26  1.1e-119  398.7  77.1   8.4e-43  146.7  18.1   3.3   3   0   0   3   3   3   3 Olfactory receptor 10A7, partial [Varanus komodoensis]
KAF7238005.1         -          7tm_1                PF00001.26  2.7e-116  387.6  86.5   1.9e-36  125.9  16.4   4.8   5   0   0   5   5   4   4 Olfactory receptor 5B21, partial [Varanus komodoensis]
KAF7235243.1         -          7tm_1                PF00001.26  3.9e-108  360.8  83.0   1.8e-40  139.1  25.4   3.1   3   0   0   3   3   3   3 Olfactory receptor 6X1 [Varanus komodoensis]
KAF7235245.1         -          7tm_1                PF00001.26  2.2e-104  348.5  55.7   5.2e-36  124.5  18.7   3.5   3   0   0   3   3   3   3 Olfactory receptor 49 [Varanus komodoensis]
KAF7237980.1         -          7tm_1                PF00001.26  6.5e-101  337.2  83.4     2e-40  139.0  29.3   4.3   4   0   0   4   4   4   3 Olfactory receptor 6Y1 [Varanus komodoensis]
KAF7237993.1         -          7tm_1                PF00001.26   6.6e-98  327.3  88.3   1.9e-36  125.9  14.2   4.9   5   0   0   5   5   4   4 Olfactory receptor 14A16 [Varanus komodoensis]
KAF7235426.1         -          7tm_1                PF00001.26   4.2e-95  318.1  86.2   2.8e-32  112.2  18.5   5.0   5   1   0   5   5   4   3 Olfactory receptor 14I1 [Varanus komodoensis]
KAF7237984.1         -          7tm_1                PF00001.26   7.1e-95  317.4  85.4   3.7e-36  124.9  24.6   3.2   3   0   0   3   3   3   3 Olfactory receptor 11L1 [Varanus komodoensis]
KAF7235429.1         -          7tm_1                PF00001.26   1.5e-91  306.5  83.6   1.7e-36  126.1  24.9   3.4   3   0   0   3   3   3   3 Olfactory receptor 14A16 [Varanus komodoensis]
KAF7235423.1         -          7tm_1                PF00001.26   7.7e-80  268.1  66.8   1.4e-36  126.3  25.6   3.2   3   0   0   3   3   3   3 Olfactory receptor 14A16 [Varanus komodoensis]
KAF7238020.1         -          7tm_1                PF00001.26   2.9e-79  266.2  47.4   9.2e-40  136.8  21.7   2.2   2   0   0   2   2   2   2 Olfactory receptor 5V1 [Varanus komodoensis]
KAF7250346.1         -          7tm_1                PF00001.26   9.3e-79  264.6   0.7   5.6e-78  262.0   0.7   1.9   1   1   0   1   1   1   1 5-hydroxytryptamine receptor 1A [Varanus komodoensis]
KAF7243311.1         -          7tm_1                PF00001.26   1.3e-77  260.8  51.7   1.5e-39  136.1  23.2   2.3   2   0   0   2   2   2   2 P2Y purinoceptor 12 [Varanus komodoensis]
